stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
23866,37298,20,494,52,31.979319,34.780120,ראשונים,129 19,2343 2705,
13657,37292,18,36,23,32.083994,34.775011,תל אביב ההגנה,174,13553 13552 3331,
26745,37314,43,33,2,31.323751,34.919931,באר שבע-צפון,28,7976 7978,
24422,37356,58,95,3,32.181278,34.871547,בני ברק,531,5226,
27777,37312,23,107,14,31.411335,34.746426,באר שבע מרכז,371 43,16540 11492 11493,
16145,37328,13,3,3,31.778729,34.697444,יבנה מזרח,336,11109,
8863,37322,21,1944,141,31.715409,34.989865,בית שמש,115 12 14 14א 15 211 410 411 412 413 414 415 416 459 8 885,15552 8552 8490 8545 11089 15485 15491 15495 15523 15529 15541 15544 15546 15550 11714 15885 11713,
15686,37348,31,966,40,31.989135,34.774236,צומת חולון,71 75,9847 9850,
21865,37344,5,1398,150,32.025827,34.750414,בת ים יוספטל,240,9821,
18819,37384,53,152,14,32.871680,35.201076,עכו,343 66 95,4464 6464 6510 11043,
23927,37346,17,408,24,32.004355,34.748329,חולון וולפסון,84,13639 13451 3182 3181,
5088,37388,54,318,47,32.698549,35.312101,לב המפרץ,332 338 340 342,1572 1574 1595 1604 1605 10623 1597,
21605,37358,41,187,4,31.933145,34.858327,תל אביב מרכז,454,16491 11936 16323,
21418,37336,14,629,23,31.926963,34.857008,רמלה,245 7,12327 11930,
13575,37342,28,7,16,32.071428,34.778882,בת ים קוממיות,425,10374,
24720,37306,13,490,28,31.990097,34.901666,נת-בג,354 5 א5,13587 8134 4632,
7003,37384,58,204,11,32.912578,35.281852,עכו,263,4434,
26756,37312,43,405,39,30.981018,34.934981,באר שבע מרכז,58,8057 8058 8060 8064 8065 8066 8067 8068,
8711,37320,42,983,108,31.786061,35.179227,ירושלים גן חיות,33,10235,
4085,37372,26,144,4,32.502289,35.086611,בנימינה,48,12215,
9023,37322,18,1944,141,31.723039,34.994612,בית שמש,115 12 14 14א 15 211 410 411 412 413 414 415 416 459 8 885,15552 8552 8490 8545 11089 15485 15491 15495 15523 15529 15541 15544 15546 15550 11714 15885 11713,
27498,37300,45,519,76,31.605284,34.759080,יבנה מערב,369,8162 8164 8165,
2427,37376,28,1690,134,32.805063,34.989524,חוף הכרמל,132 133,13269 13270 9455 4147 4148 4146,
21748,37338,38,108,4,31.968815,34.930104,לוד,21,12365,
15311,37334,49,120,6,31.966846,34.892329,לוד-גני אביב,8,10973,
1974,37378,16,320,20,32.820309,34.962871,בת גלים,31,11319 3726,
13559,37360,22,24,12,32.071869,34.773464,תא אוניברסיטה,220 25,10263 2380,
25769,37314,10,2057,275,31.252930,34.804311,באר שבע-צפון,5,155,
25944,37326,11,50,5,31.726757,34.637343,אשדוד עד הלום,152,15801,
12978,37358,14,336,28,32.051417,34.800000,תל אביב מרכז,11,2309,
3202,37378,22,1183,66,32.806397,34.980705,בת גלים,5,13220,
25548,37350,39,170,12,31.799261,34.654991,השלום,280,50,
8071,37394,40,144,4,32.003530,35.174503,מודיעין מרכז,468,6401,
27823,39260,20,139,11,31.253386,34.765468,אופקים,130 134 135 35,16567 16569 16871 1802 1863,
20642,37312,211,2,1,32.909070,35.295599,באר שבע מרכז,958,13179,
11832,37320,27,983,108,31.788608,35.178549,ירושלים גן חיות,33,10235,
27831,37312,3,1111,122,31.246744,34.779381,באר שבע מרכז,130 133 134 135 323 325 326 330 343 35 353 361 363 364 371 43 464,12323 16554 16568 16605 16612 16629 16570 16544 16603 16607 16540 1806 1807 1865 1875 16879 11492 11493 13583 8126 8124,
15756,37328,10,246,30,31.876261,34.747818,יבנה מזרח,3,7,
24390,37350,66,1120,65,32.177924,34.886744,השלום,501 502,5193 5200 5207 13492,
16836,37332,11,156,1,31.890293,34.795850,רחובות,164 18 274,10335 3323 3394,
6015,37384,33,12,2,32.859451,35.195699,עכו,69,14561,
3103,37386,35,644,60,32.796468,35.097556,חוצות מפרץ,21,11021,
21596,37336,1,1717,98,31.921013,34.876620,רמלה,10 139 244 248 249 403 404 432 433 435 451 458,8340 6939 13022 13023 13028 13031 8437 9436 13458 10331 6937 6950 6951 6954 6963 3309 3371 3375 11903 11904,
701,37350,26,65,26,32.094713,34.886240,השלום,186,9252 9251 11842,
14032,37350,27,1071,141,32.073338,34.838650,השלום,160,9805,
37831,37312,29,20,0,31.413528,34.613077,באר שבע מרכז,325,16554,
724,37366,14,125,33,32.344502,34.862316,נתניה,18 25,10277 2224,
16069,37328,14,205,22,31.890059,34.782763,יבנה מזרח,212 220,44 47,
24262,37350,32,15,0,32.057422,34.875154,השלום,56,981,
39657,37382,32,24,2,33.015390,35.255634,נהריה,49,16133,
1449,37372,7,1037,64,32.475085,34.973938,בנימינה,10 202 69 70 872,635 13016 13017 5309 13662 11444 15004 15006 6930 12192 12254,
3904,37378,64,26,65,32.774375,35.043268,בת גלים,208,13383 11117,
2179,37384,24,1542,179,32.811661,35.071139,עכו,261 271 361 471 500 503,4411 4440 4498 12158 13295 13296 13281 4474 16381,
26306,37312,9,2658,310,31.240617,34.778113,באר שבע מרכז,31,214,
11035,37322,0,628,32,31.755892,34.989722,בית שמש,12 13 138 182 409 885,8482 15882 13738 11016 15492 15509,
22,37394,32,10,0,31.914607,34.807864,מודיעין מרכז,160,16332,
17859,37382,22,84,7,33.081409,35.210107,נהריה,24,317,
14357,37350,17,583,37,32.067171,34.765203,השלום,23,2358,
3364,37378,18,0,14,32.798046,35.000718,בת גלים,8,13221,
6795,37382,35,96,6,32.991901,35.310393,נהריה,46,514,
966,37358,51,187,4,31.933069,34.854617,תל אביב מרכז,454,16491 11936 16323,
16671,37338,41,132,4,32.003061,34.944894,לוד,22,12356,
34363,37350,70,5,0,32.096178,35.123636,השלום,186,11842,
23865,37342,21,612,39,31.974438,34.782179,בת ים קוממיות,85,3188,
34057,37332,22,60,0,31.881419,34.804452,רחובות,24 274 א24,3393 11672 16264,
35850,37378,7,4436,684,32.822523,34.956864,בת גלים,1 17 24 792,6798 11685 11688 3639 3695 6799,
16340,37332,51,36,1,31.860099,34.854964,רחובות,27,3104 12673,
6585,37382,36,132,11,32.977203,35.337677,נהריה,44 45,367 369 370 376 378 371 374,
25910,37326,4,420,20,31.782395,34.658259,אשדוד עד הלום,66,2056,
26989,37308,9,75,9,31.371031,34.809464,להבים רהט,47,16542,
1872,37376,21,186,68,32.792719,34.986280,חוף הכרמל,200,13276 4396,
715,37364,17,312,11,32.278646,34.889572,בית יהושע,11 13,14927 11759 11760,
2306,37388,11,1985,109,32.829155,35.080141,לב המפרץ,143 167 170 215 251 261 271 273,4405 4443 4444 4446 4451 13283 13365 13366 10377 4403 13282 4413 4158 6547 6548 7565 6546,
25294,37358,34,288,12,32.074578,34.910206,תל אביב מרכז,166,2738,
14138,37360,6,2084,259,32.117935,34.817919,תא אוניברסיטה,220 247 47 48 570 89,7699 5260 5261 9785 9786 10262 7701 7702 7703 7721,
169,37336,14,744,36,31.917022,34.868261,רמלה,25 4,12352 16322,
876,37304,18,454,52,32.187997,34.904513,כפר סבא,2,11850 11852,
4023,37368,16,36,0,32.408962,34.920751,חדרה מערב,54,12236,
25059,37294,42,288,16,31.951170,34.770726,רשל''צ משה דיין,84,13451 3181,
6700,37384,24,257,15,32.962606,35.171484,עכו,35 61 62 95,4304 15380 6462 6509 509 510,
4046,37372,10,528,28,32.519043,34.915317,בנימינה,9,14949 12190,
13543,37344,25,4326,416,32.066114,34.771808,בת ים יוספטל,129 18 72,9781 9782 2328 2329 2703 2704 2705 2708,
26737,37308,21,36,2,31.308121,34.901231,להבים רהט,38 40,13441 238,
17490,37368,14,140,0,32.424167,34.922944,חדרה מערב,22,9502,
18437,37388,43,145,23,32.728672,35.336570,לב המפרץ,342,1604 1605,
38110,37326,37,55,4,31.794034,34.768826,אשדוד עד הלום,38,9604,
7008,37388,81,333,13,32.914266,35.281874,לב המפרץ,262,4420,
19527,37388,42,119,4,32.931300,35.074830,לב המפרץ,251,4403,
17608,37384,15,12,0,33.001607,35.098530,עכו,273,4451,
12055,37312,75,386,38,30.615996,34.797179,באר שבע מרכז,160 60 64 65 69,11058 16750 10871 10872 11056 11735 11751,
13300,37350,18,18,24,32.076813,34.768193,השלום,463 599,10497 2950,
24091,37348,22,966,40,31.998082,34.767431,צומת חולון,71 75,9847 9850,
13122,37358,12,12,21,32.061823,34.777831,תל אביב מרכז,466,2953,
18748,37350,203,386,66,33.071902,35.576149,השלום,840 845,14034 7162,
38659,37358,111,442,54,32.408950,34.903448,תל אביב מרכז,819 871 921,13118 13119 13120 13121 13122 5300 5308 11012 11013 7200 7201,
23958,37342,19,751,54,32.011783,34.753284,בת ים קוממיות,6,2273 2272,
35797,37390,32,1094,120,32.810513,35.115087,קרית מוצקין,22,13369,
28571,37312,33,44,0,31.229211,34.809748,באר שבע מרכז,54,8050,
13479,37358,19,3356,387,32.065107,34.764723,תל אביב מרכז,10 18,2299 2332 2334 2335,
27249,37290,4,220,11,31.527177,34.602604,שדרות,4,11819,
39321,38643,32,60,3,31.460106,34.620742,נתיבות,51,16638,
37109,37364,5,100,4,32.257448,34.898737,בית יהושע,243 43,13598 11440,
21703,37330,4,252,9,31.945240,34.837587,באר יעקב,1,12326,
21871,37348,9,384,15,32.028694,34.765413,צומת חולון,146,16877,
24295,37360,39,640,40,32.087488,34.887013,תא אוניברסיטה,49,2482,
22443,37358,56,746,49,31.997236,34.737897,תל אביב מרכז,83,13637 3174 13450 3173,
14982,37366,12,180,15,32.316637,34.927248,נתניה,136 137 40,11768 12179 12180,
1480,37350,69,772,106,32.458664,34.985894,השלום,825 827 832 834 840 843 853,13097 13098 7099 13343 13344 7100 13678 7085 14034 7178 7086 7154 7155 7179,
16113,37326,25,170,15,31.789416,34.758573,אשדוד עד הלום,27 38,9604 15780,
22499,37338,9,138,13,31.948410,34.901680,לוד,460 464,10954 10984,
23843,37294,17,1074,46,31.963872,34.780953,רשל''צ משה דיין,173 6,13702 9874 10106 10105,
18383,37388,50,173,24,32.697978,35.314979,לב המפרץ,332 338 340,1572 1574 1595 10623 1597,
