stop_id,station_id,stop_code,station_code,station_distance,stop_lat,stop_lon,google_walking_distance,gh_walking_distance,google_station_lat,google_station_lon,gh_station_lat,gh_station_lon,google_directions,gh_directions
1287,37372,40313,17024,311.0538085610875,32.517182,34.949421,359,380.625,32.514159,34.950079,32.514159,34.950079,32.517191 34.949488 32.514242 34.950235 32.514158 34.950091,32.517196 34.949488 32.517122 34.949510 32.516945 34.949489 32.516857 34.949389 32.516807 34.949389 32.516721 34.949480 32.516658 34.949512 32.515613 34.949668 32.515107 34.949779 32.515129 34.949920 32.515120 34.949990 32.515068 34.950069 32.514285 34.950218 32.514247 34.950124 32.514202 34.950092 32.514158 34.950088
1289,37372,40315,17024,238.8776346404746,32.516522,34.949858,283,363.032,32.514159,34.950079,32.514159,34.950079,32.516512 34.949816 32.514907 34.950199 32.514242 34.950235 32.514158 34.950091,32.516511 34.949810 32.516787 34.949719 32.516873 34.949720 32.516841 34.949656 32.516838 34.949610 32.516547 34.949709 32.515240 34.950036 32.514285 34.950218 32.514247 34.950124 32.514202 34.950092 32.514158 34.950088
1332,37370,40364,17026,63.026790222662825,32.484848,34.953560,73,67.259,32.48527,34.95378,32.48527,34.95378,32.484791 34.953580 32.484824 34.953713 32.485038 34.953744 32.485050 34.953842 32.485273 34.953804,32.484797 34.953584 32.484840 34.953712 32.484898 34.953739 32.484939 34.953832 32.485271 34.953792
1704,37372,40820,17024,91.42771857506237,32.515017,34.950199,113,533.071,32.514159,34.950079,32.514159,34.950079,32.515014 34.950176 32.514907 34.950199 32.514242 34.950235 32.514158 34.950091,32.515010 34.950150 32.516231 34.949902 32.516787 34.949719 32.516873 34.949720 32.516841 34.949656 32.516838 34.949610 32.516547 34.949709 32.515240 34.950036 32.514285 34.950218 32.514247 34.950124 32.514202 34.950092 32.514158 34.950088
1710,37372,40826,17024,239.4243793757518,32.516539,34.949665,281,276.845,32.514159,34.950079,32.514159,34.950079,32.516555 34.949720 32.514242 34.950235 32.514158 34.950091,32.516549 34.949708 32.515240 34.950036 32.514285 34.950218 32.514247 34.950124 32.514202 34.950092 32.514158 34.950088
1711,37372,40827,17024,332.40805549922175,32.517377,34.949546,391,410.032,32.514159,34.950079,32.514159,34.950079,32.517368 34.949508 32.514242 34.950235 32.514158 34.950091,32.517367 34.949512 32.517063 34.949640 32.517059 34.949585 32.517014 34.949512 32.516945 34.949489 32.516857 34.949389 32.516807 34.949389 32.516721 34.949480 32.516658 34.949512 32.515613 34.949668 32.515107 34.949779 32.515129 34.949920 32.515120 34.949990 32.515068 34.950069 32.514285 34.950218 32.514247 34.950124 32.514202 34.950092 32.514158 34.950088
2040,37378,41157,17018,332.648493924309,32.831695,34.985153,497,495.486,32.8306,34.98206,32.8306,34.98206,32.831656 34.985130 32.831429 34.985689 32.830826 34.985373 32.830731 34.982758 32.830682 34.982323 32.830557 34.982093,32.831688 34.985150 32.831554 34.985520 32.831441 34.985723 32.831441 34.985668 32.831396 34.985573 32.831356 34.985543 32.831311 34.985530 32.831226 34.985556 32.831008 34.985471 32.830703 34.985315 32.830479 34.984933 32.830411 34.984743 32.830353 34.984450 32.830345 34.984210 32.830862 34.982454 32.830805 34.982323 32.830746 34.982275 32.830676 34.982260 32.830563 34.982095
2042,37378,41159,17018,220.91674744538474,32.832121,34.983254,393,587.696,32.8306,34.98206,32.8306,34.98206,32.832099 34.983210 32.832123 34.981464 32.830961 34.981924 32.830761 34.982327 32.830682 34.982323 32.830557 34.982093,32.832148 34.983261 32.832199 34.982996 32.832040 34.980750 32.831987 34.980727 32.831957 34.980670 32.831955 34.980636 32.830979 34.980620 32.830898 34.980803 32.830874 34.981166 32.830926 34.981531 32.831003 34.981769 32.830862 34.982454 32.830805 34.982323 32.830746 34.982275 32.830676 34.982260 32.830563 34.982095
2043,37378,41160,17018,229.6812481991177,32.832091,34.980321,340,372.187,32.8306,34.98206,32.8306,34.98206,32.832068 34.980314 32.832019 34.980528 32.830993 34.980663 32.830761 34.982327 32.830682 34.982323 32.830557 34.982093,32.832065 34.980319 32.832051 34.980545 32.832024 34.980546 32.831962 34.980605 32.831955 34.980636 32.830979 34.980620 32.830898 34.980803 32.830874 34.981166 32.830926 34.981531 32.831003 34.981769 32.830862 34.982454 32.830805 34.982323 32.830746 34.982275 32.830676 34.982260 32.830563 34.982095
2044,37378,41161,17018,174.9238095796631,32.832021,34.981415,216,413.425,32.8306,34.98206,32.8306,34.98206,32.832029 34.981480 32.830961 34.981924 32.830761 34.982327 32.830682 34.982323 32.830557 34.982093,32.832085 34.981409 32.832040 34.980750 32.831987 34.980727 32.831957 34.980670 32.831955 34.980636 32.830979 34.980620 32.830898 34.980803 32.830874 34.981166 32.830926 34.981531 32.831003 34.981769 32.830862 34.982454 32.830805 34.982323 32.830746 34.982275 32.830676 34.982260 32.830563 34.982095
2192,37392,41309,17004,309.5306448564279,32.827375,35.062729,638,503.127,32.82462,35.06411,32.82462,35.06411,32.827406 35.062686 32.827240 35.062481 32.826972 35.063116 32.826312 35.064602 32.826418 35.064898 32.825669 35.065201 32.825486 35.065509 32.825100 35.065136 32.824526 35.064395 32.824527 35.064130,32.827429 35.062666 32.827502 35.062755 32.827223 35.063094 32.827135 35.063334 32.826382 35.064869 32.826294 35.065018 32.826158 35.064915 32.826007 35.065245 32.825727 35.065086 32.824536 35.064287
2266,37390,41383,17006,329.0589144027048,32.832662,35.073509,414,543.276,32.83319,35.07019,32.83319,35.07019,32.832677 35.073563 32.832944 35.073458 32.833390 35.072709 32.832449 35.071854 32.833175 35.070377,32.832673 35.073564 32.832943 35.073489 32.833497 35.072546 32.832484 35.071860 32.832822 35.071153 32.833233 35.070349 32.832806 35.070024 32.832859 35.069928 32.833198 35.070175
2269,37390,41386,17006,232.86067808487826,32.834285,35.072113,274,383.041,32.83319,35.07019,32.83319,35.07019,32.834262 35.072160 32.834079 35.071954 32.834432 35.071209 32.833175 35.070377,32.834294 35.072094 32.834056 35.071939 32.834066 35.071873 32.834039 35.071806 32.834014 35.071784 32.833928 35.071780 32.833903 35.071798 32.834041 35.071470 32.834235 35.071074 32.834066 35.070940 32.833996 35.070844 32.833762 35.070675 32.833645 35.070615 32.833619 35.070560 32.833567 35.070577 32.833233 35.070349 32.832806 35.070024 32.832859 35.069928 32.833198 35.070175
2289,37390,41406,17006,286.10622347846527,32.833350,35.073083,365,470.849,32.83319,35.07019,32.83319,35.07019,32.833306 35.073055 32.833889 35.072038 32.834267 35.071101 32.833175 35.070377,32.833295 35.073046 32.833654 35.072376 32.833834 35.072093 32.833952 35.072004 32.833881 35.071945 32.833874 35.071850 32.834235 35.071074 32.834066 35.070940 32.833996 35.070844 32.833762 35.070675 32.833645 35.070615 32.833619 35.070560 32.833567 35.070577 32.833233 35.070349 32.832806 35.070024 32.832859 35.069928 32.833198 35.070175
2356,37388,41476,17008,189.85814567041726,32.793212,35.038928,266,375.906,32.79374,35.03717,32.79374,35.03717,32.793266 35.038888 32.792891 35.038183 32.793201 35.038389 32.793442 35.038198 32.793742 35.037192,32.793185 35.038949 32.793672 35.039861 32.793702 35.039757 32.792979 35.038398 32.793043 35.038437 32.793176 35.038397 32.793886 35.037917
2403,37388,41533,17008,260.1708661569076,32.792761,35.034660,666,1749.62,32.79374,35.03717,32.79374,35.03717,32.792762 35.034664 32.792111 35.034460 32.792061 35.034508 32.792344 35.035304 32.792415 35.035675 32.792586 35.035604 32.793417 35.038218 32.793442 35.038198 32.793742 35.037192,32.792777 35.034714 32.792499 35.034855 32.791325 35.035680 32.789936 35.036746 32.789418 35.037103 32.788990 35.037302 32.788343 35.037516 32.786859 35.037942 32.788175 35.037716 32.788627 35.037601 32.788982 35.037483 32.789320 35.037327 32.789964 35.036918 32.791559 35.035686 32.791693 35.035529 32.791773 35.035590 32.792308 35.035727 32.792519 35.035757 32.792561 35.035768 32.792584 35.035799 32.792703 35.036155 32.792730 35.036370 32.792777 35.036512 32.792795 35.036625 32.792795 35.036775 32.792815 35.036906 32.793372 35.038167 32.793354 35.038283 32.793886 35.037917
2408,37378,41538,17018,335.8975215430081,32.831083,34.985417,387,380.129,32.8306,34.98206,32.8306,34.98206,32.831060 34.985484 32.830826 34.985373 32.830731 34.982758 32.830682 34.982323 32.830557 34.982093,32.831062 34.985492 32.830703 34.985315 32.830479 34.984933 32.830411 34.984743 32.830353 34.984450 32.830345 34.984210 32.830862 34.982454 32.830805 34.982323 32.830746 34.982275 32.830676 34.982260 32.830563 34.982095
2410,37380,41540,17016,157.24648418155002,32.820918,34.996850,120,182.78,32.821826,34.996372,32.821826,34.996372,32.820966 34.996903 32.821141 34.996678 32.821253 34.996749 32.821801 34.996333,32.820934 34.996867 32.821626 34.995959 32.821714 34.996011 32.821947 34.996079 32.821918 34.996215 32.821802 34.996333
2787,37374,41919,17022,198.45539256705416,32.691861,34.942019,368,370.978,32.69295,34.94055,32.69295,34.94055,32.691915 34.942007 32.691922 34.941733 32.692491 34.940724 32.692939 34.940641,32.691905 34.941992 32.691898 34.941870 32.691923 34.941776 32.692455 34.941591 32.693220 34.941645 32.693333 34.941530 32.693334 34.941412 32.693280 34.941304 32.693025 34.941104 32.692458 34.940724 32.692548 34.940639 32.692642 34.940602 32.692929 34.940665
2868,37378,42001,17018,283.47388243695656,32.831654,34.984594,531,507.049,32.8306,34.98206,32.8306,34.98206,32.831752 34.984628 32.832123 34.981464 32.830961 34.981924 32.830761 34.982327 32.830682 34.982323 32.830557 34.982093,32.831725 34.984620 32.831631 34.984978 32.831484 34.985281 32.831311 34.985530 32.831226 34.985556 32.831008 34.985471 32.830703 34.985315 32.830479 34.984933 32.830411 34.984743 32.830353 34.984450 32.830345 34.984210 32.830862 34.982454 32.830805 34.982323 32.830746 34.982275 32.830676 34.982260 32.830563 34.982095
3001,37374,42134,17022,69.17226927035861,32.692835,34.941046,104,107.815,32.69295,34.94055,32.69295,34.94055,32.692859 34.940999 32.692491 34.940724 32.692939 34.940641,32.692861 34.940993 32.692458 34.940724 32.692548 34.940639 32.692642 34.940602 32.692929 34.940665
3085,37368,42218,17028,101.61174336746015,32.438485,34.900350,77,76.339,32.438034,34.899734,32.438034,34.899734,32.438507 34.900328 32.438026 34.899742,32.438483 34.900352 32.438056 34.899715
3087,37368,42220,17028,53.45168316128561,32.438268,34.899885,29,27.331,32.438034,34.899734,32.438034,34.899734,32.438203 34.899967 32.438026 34.899742,32.438204 34.899947 32.438056 34.899715
3181,37388,42315,17008,162.92573442724424,32.793427,35.038721,187,113.687,32.79374,35.03717,32.79374,35.03717,32.793413 35.038733 32.793201 35.038389 32.793442 35.038198 32.793742 35.037192,32.793406 35.038735 32.793327 35.038571 32.793321 35.038479 32.793354 35.038283 32.793886 35.037917
