stop_id,station_id,station_distance
1,37304,1847.6508052513823
2,37332,4473.067005121825
3,37294,2426.485586177501
4,37332,2670.991991539055
6,37334,2158.5735547611866
7,37332,2076.395008054083
8,37332,5923.69171093455
9,37332,5358.645288460101
10,37332,5072.613560717066
11,37332,4970.602098907304
12,37332,4705.473587506372
14,37332,5497.710871213821
15,37332,5447.221466965346
16,37332,5199.697792039918
17,37294,1371.8520572582843
18,37366,4624.390326567642
19,37366,4596.085000429062
22,37332,672.7767991360075
24,37330,3510.0386385672673
25,37332,6109.588414544265
26,37332,3792.7845199075514
29,37366,4508.045496292228
30,37366,7632.982557356487
31,37366,7314.220288827652
32,37366,6952.793603421426
33,37366,6950.933658550681
34,37366,6955.4301683273425
35,37306,2751.682989069397
36,37306,888.9493252994936
37,37332,3082.0437856890867
39,37366,6197.676817255259
40,37366,4527.718807795016
42,37332,3208.335214148837
43,37332,2751.30454134043
45,37332,1648.225001647836
46,37332,1974.730703904014
47,37352,3947.06835760916
48,37366,2408.500950456172
49,37332,6941.063942107552
50,37336,6998.4986615498665
51,37328,6941.290286146094
52,37328,7171.509110200098
53,37328,7531.167067524879
54,37328,7845.7259116533
55,37328,7831.589353924141
56,37328,7720.69100128005
57,37328,7499.078556308943
58,37328,7381.913189867134
60,37328,6029.369157359568
61,37328,7851.341889454491
62,37328,7691.3810536090905
63,37328,6097.888255200392
64,37328,6156.334073689327
65,37328,6679.626125760744
67,37328,6830.983203446486
68,37332,2723.9727062363554
69,37332,166.52006512954318
71,37332,2915.9468176981045
73,37332,3370.2251577596785
74,37298,3119.5003944909236
75,37294,3090.1581984515733
76,37330,1837.0151162776508
77,37298,2453.5821804343054
78,37332,2387.1905135500747
79,37332,6291.221493140315
80,37322,10294.482317466929
81,37298,1446.5455927871164
82,37298,1736.3311078688346
83,37294,484.0062986120565
84,37294,2401.0589221614605
85,37294,2778.2495143194474
86,37298,2544.0710256991265
87,37298,2764.801801823965
90,37294,629.9680201917286
91,37294,720.594797676687
92,37294,582.262690540621
94,37298,1574.1422037081709
95,37298,1634.0122831766255
97,37332,1251.7038443804515
98,37332,1448.6823282396865
99,37332,1357.5610068917
100,37332,959.6679585434604
101,37332,1066.3020265693294
103,37330,310.64333660283523
104,37330,884.7058752512123
105,37330,1110.4893217275837
106,37330,1141.7300234708428
107,37330,764.6304264899283
108,37330,1095.7397672688724
109,37330,1103.8565400184614
110,37330,779.7965392394306
111,37394,2226.953641631056
112,37394,2223.7285921153693
113,37336,3420.611544505914
114,37336,3634.9368087221537
115,37336,3820.4015003332415
116,37336,4237.862912877319
117,37394,836.8289973318823
121,37394,876.6120072210944
122,37394,846.2275012923466
127,37330,1652.1108693585975
128,37330,1778.2669997650632
129,37330,1779.489566988817
130,37330,1637.4629224048542
132,37336,762.4718146470459
133,37336,768.2169349397967
134,37336,1127.307876882398
135,37336,267.5011927263874
136,37336,258.2488272841203
137,37336,568.111038074188
138,37336,668.195892064175
139,37336,544.8988913523262
140,37336,538.7768829698882
141,37336,1509.1095874883206
142,37338,1393.5221541460064
143,37338,1398.260112563879
144,37336,1460.1513076718666
145,37338,1933.455657299801
147,37338,2027.2464753291572
148,37336,2067.2342567717087
149,37336,2267.6960702407655
150,37336,2312.4950197992353
151,37336,2304.4972406069624
152,37336,1900.1048343578761
153,37336,1909.1060122373112
159,37336,1096.6571408676705
161,37336,811.9516151721948
162,37336,1256.6598516032134
163,37336,1753.2372897309472
164,37336,1483.0339908325866
165,37330,3028.652131405261
166,37330,2629.4452439910087
168,37336,2785.970052406626
169,37336,1563.1627962410869
170,37336,1263.275154927729
171,37336,1181.4094092264359
172,37336,1311.610264567733
173,37336,1486.8867902367087
174,37336,1439.218039037663
175,37336,1244.85832998573
176,37336,1552.7011942970983
179,37394,2384.1512890041104
180,37394,2497.3814917117606
181,37394,2456.785688204099
182,37394,2462.630323512798
183,37394,2589.94201978367
184,37394,2603.8496806545627
185,37394,2892.8709473861977
186,37394,2898.64828380257
188,37364,2305.344196920144
189,37364,2312.0065580562054
190,37364,2318.3683550972005
191,37364,2227.616012025805
192,37364,2136.090039600465
193,37364,2042.5450916141656
194,37364,2038.4332302419882
195,37364,1998.9962156084748
196,37364,780.3609313940458
197,37364,1771.5648500794803
198,37364,1202.40505989081
199,37364,250.30684145548773
200,37364,332.7652391940063
201,37364,510.012598291548
202,37366,851.4169745963135
203,37364,1364.7164585184157
204,37364,1679.603006208294
205,37366,2850.651604218254
206,37364,2968.04209533819
