Month,Station,Embarking,Disemabrking
2016-03,בנימינה,"142,478","126,344"
2016-03,קיסריה פרדס-חנה,"54,412","47,840"
2016-03,עתלית,"12,806","12,622"
2016-03,חיפה בת-גלים,"85,303","80,724"
2016-03,חוצות המפרץ,"18,636","19,692"
2016-03,קריית חיים,"20,608","18,510"
2016-03,קריית מוצקין,"97,382","90,972"
2016-03,עכו,"110,897","109,633"
2016-03,חיפה חוף-הכרמל,"208,718","202,478"
2016-03,כפר-סבא נורדאו,"68,323","65,847"
2016-03,נהרייה,"120,571","122,456"
2016-03,ירושלים גן-החיות,53,180
2016-03,בית-שמש,"32,082","31,583"
2016-03,קריית-גת,"43,840","42,185"
2016-03,לוד,"119,971","115,778"
2016-03,באר-שבע צפון,"94,945","83,664"
2016-03,"כפר חב""ד","15,764","15,990"
2016-03,"ת""א השלום","616,794","611,809"
2016-03,חיפה מרכז השמונה,"79,481","73,209"
2016-03,רמלה,"34,498","32,363"
2016-03,ראש-העין צפון,"69,109","63,671"
2016-03,באר-יעקב,"26,823","21,357"
2016-03,רחובות,"183,947","194,763"
2016-03,יבנה מזרח,"24,315","23,205"
2016-03,"ראשל""צ הראשונים","21,980","20,783"
2016-03,אשדוד עד-הלום,"135,415","137,920"
2016-03,פתח-תקווה סגולה,"40,640","39,973"
2016-03,בני ברק,"50,701","58,386"
2016-03,"ת""א אוניברסיטה","267,937","260,685"
2016-03,באר-שבע מרכז,"158,875","156,424"
2016-03,לב המפרץ,"100,628","97,429"
2016-03,"ת""א ההגנה","232,613","242,705"
2016-03,"נתב""ג","114,681","121,748"
2016-03,ירושלים מלחה,"10,990","11,928"
2016-03,אשקלון,"108,955","106,626"
2016-03,דימונה,"1,119",927
2016-03,הוד-השרון סוקולוב,"50,785","49,505"
2016-03,קריית אריה,"69,706","68,235"
2016-03,לוד גני-אביב,"21,527","18,920"
2016-03,להבים רהט,"15,966","17,981"
2016-03,פאתי מודיעין,"17,732","16,736"
2016-03,מודיעין מרכז,"76,925","76,090"
2016-03,צומת חולון,"20,398","24,560"
2016-03,חולון וולפסון,"32,919","32,246"
2016-03,בת-ים יוספטל,"73,438","71,406"
